date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:56	79670/79670	---M--	200	added ('OK')	image/png	etag:%22e0b529377b4857d34e9970ec2c47b675%22	https://uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/624308b18087f1712c0fa58c_Slide%2016_9%20-%201%20(1).png	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/624308b18087f1712c0fa58c_Slide%2016_9%20-%201%20(1).png	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:57	30566/30566	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:54:56%20GMT	https://www.momint.so/post/difference-between-fungible-and-non-fungible-tokens	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/post/difference-between-fungible-and-non-fungible-tokens.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:57	61173/61173	---M--	200	added ('OK')	image/jpeg	etag:%22c2171e7e23b0796437208d933917aa36%22	https://uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/6244697cfaecc47d35e1e836_tokens%20article%20(2).jpeg	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/6244697cfaecc47d35e1e836_tokens%20article%20(2).jpg	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:58	41233/41233	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:54:57%20GMT	https://www.momint.so/post/the-meaning-of-decentralisation	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/post/the-meaning-of-decentralisation.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:58	54095/54095	---M--	200	added ('OK')	image/jpeg	etag:%228d6258336135ca64402b21389e982af4%22	https://uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/62446f6d9dfdf83a97bdd38c_what%20is%20decentralisation%20(1).jpeg	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/62446f6d9dfdf83a97bdd38c_what%20is%20decentralisation%20(1).jpg	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:58	27188/27188	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:54:58%20GMT	https://www.momint.so/post/meaning-of-minting-an-nft	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/post/meaning-of-minting-an-nft.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:59	50326/50326	---M--	200	added ('OK')	image/jpeg	etag:%220ae3fd7ec1138d839480ed249338ac17%22	https://uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/6245772b4a0a86cae6e40a4f_minting%20an%20nft%20(1).jpeg	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/6245772b4a0a86cae6e40a4f_minting%20an%20nft%20(1).jpg	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:59	29160/29160	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:54:59%20GMT	https://www.momint.so/post/what-is-nft-ticketing	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/post/what-is-nft-ticketing.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:59	85731/85731	---M--	200	added ('OK')	image/jpeg	etag:%225667c77afcf9e0c9df570c4e4278ae9b%22	https://uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/62569bac20ffd6022518ba53_nft%20ticketing%20(1).jpg	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/62569bac20ffd6022518ba53_nft%20ticketing%20(1).jpg	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:25:00	30755/30755	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:55:00%20GMT	https://www.momint.so/post/everything-you-need-to-know-about-dapps	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/post/everything-you-need-to-know-about-dapps.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
